Area name,2011 Aged 4 years and under,2021 Aged 4 years and under,2011 Aged 5 to 9 years,2021 Aged 5 to 9 years,2011 Aged 10 to 15 years,2021 Aged 10 to 15 years,2011 Aged 16 to 19 years,2021 Aged 16 to 19 years,2011 Aged 20 to 24 years,2021 Aged 20 to 24 years,2011 Aged 25 to 34 years,2021 Aged 25 to 34 years,2011 Aged 35 to 49 years,2021 Aged 35 to 49 years,2011 Aged 50 to 64 years,2021 Aged 50 to 64 years,2011 Aged 65 to 74 years,2021 Aged 65 to 74 years,2011 Aged 75 to 84 years,2021 Aged 75 to 84 years,2011 Aged 85 years and over,2021 Aged 85 years and over,2011 Percentage: Aged 4 years and under,2021 Percentage: Aged 4 years and under,2011 Percentage: Aged 5 to 9 years,2021 Percentage: Aged 5 to 9 years,2011 Percentage: Aged 10 to 15 years,2021 Percentage: Aged 10 to 15 years,2011 Percentage: Aged 16 to 19 years,2021 Percentage: Aged 16 to 19 years,2011 Percentage: Aged 20 to 24 years,2021 Percentage: Aged 20 to 24 years,2011 Percentage: Aged 25 to 34 years,2021 Percentage: Aged 25 to 34 years,2011 Percentage: Aged 35 to 49 years,2021 Percentage: Aged 35 to 49 years,2011 Percentage: Aged 50 to 64 years,2021 Percentage: Aged 50 to 64 years,2011 Percentage: Aged 65 to 74 years,2021 Percentage: Aged 65 to 74 years,2011 Percentage: Aged 75 to 84 years,2021 Percentage: Aged 75 to 84 years,2011 Percentage: Aged 85 years and over,2021 Percentage: Aged 85 years and over,Percentage point change: Aged 4 years and under,Percentage point change: Aged 5 to 9 years,Percentage point change: Aged 10 to 15 years,Percentage point change: Aged 16 to 19 years,Percentage point change: Aged 20 to 24 years,Percentage point change: Aged 25 to 34 years,Percentage point change: Aged 35 to 49 years,Percentage point change: Aged 50 to 64 years,Percentage point change: Aged 65 to 74 years,Percentage point change: Aged 75 to 84 years,Percentage point change: Aged 85 years and over
Hackney,"19,149","16,135","15,360","15,159","16,616","18,384","10,672","11,159","21,685","18,592","63,915","63,482","53,826","57,714","27,652","38,022","9,673","12,473","5,775","5,798","1,947","2,230",7.8,6.2,6.2,5.8,6.7,7.1,4.3,4.3,8.8,7.2,26.0,24.5,21.9,22.3,11.2,14.7,3.9,4.8,2.3,2.2,0.8,0.9,-1.5,-0.4,0.3,0.0,-1.6,-1.5,0.4,3.4,0.9,-0.1,0.1
Hammersmith and Fulham,"11,900","9,075","8,559","8,824","9,171","10,631","6,366","6,581","17,279","16,960","48,029","42,789","42,265","39,823","22,511","29,493","9,102","10,717","5,300","6,079","2,011","2,189",6.5,5.0,4.7,4.8,5.0,5.8,3.5,3.6,9.5,9.3,26.3,23.4,23.2,21.7,12.3,16.1,5.0,5.9,2.9,3.3,1.1,1.2,-1.6,0.1,0.8,0.1,-0.2,-3.0,-1.4,3.8,0.9,0.4,0.1
Haringey,"18,112","14,932","15,775","14,742","18,183","18,562","11,304","11,580","18,835","16,363","56,601","49,903","60,475","63,930","33,272","46,516","12,575","15,966","7,373","8,523","2,421","3,217",7.1,5.7,6.2,5.6,7.1,7.0,4.4,4.4,7.4,6.2,22.2,18.9,23.7,24.2,13.1,17.6,4.9,6.0,2.9,3.2,0.9,1.2,-1.5,-0.6,-0.1,-0.1,-1.2,-3.3,0.5,4.6,1.1,0.3,0.3
Harrow,"15,916","15,699","14,421","16,133","17,721","19,750","11,973","11,772","16,066","15,132","38,953","38,925","50,088","58,062","40,251","45,549","17,420","21,410","11,659","13,091","4,588","5,680",6.7,6.0,6.0,6.2,7.4,7.6,5.0,4.5,6.7,5.8,16.3,14.9,21.0,22.2,16.8,17.4,7.3,8.2,4.9,5.0,1.9,2.2,-0.6,0.1,0.1,-0.5,-0.9,-1.4,1.3,0.6,0.9,0.1,0.3
Havering,"13,661","16,491","13,230","16,862","17,497","18,971","12,226","11,363","14,976","14,106","29,146","36,233","49,464","52,844","44,755","49,081","20,561","23,993","15,660","15,142","6,056","6,971",5.8,6.3,5.6,6.4,7.4,7.2,5.2,4.3,6.3,5.4,12.3,13.8,20.9,20.2,18.9,18.7,8.7,9.2,6.6,5.8,2.6,2.7,0.5,0.9,-0.1,-0.8,-0.9,1.5,-0.7,-0.1,0.5,-0.8,0.1
Hillingdon,"19,704","19,882","16,915","20,469","20,274","23,681","15,636","14,871","21,934","19,812","42,385","44,450","59,032","68,671","42,878","52,905","18,061","22,110","12,425","13,156","4,692","5,909",7.2,6.5,6.2,6.7,7.4,7.7,5.7,4.9,8.0,6.5,15.5,14.5,21.5,22.4,15.7,17.3,6.6,7.2,4.5,4.3,1.7,1.9,-0.7,0.5,0.3,-0.8,-1.5,-0.9,0.9,1.6,0.6,-0.2,0.2
Hounslow,"19,725","18,221","14,899","19,107","16,909","22,172","11,713","12,660","18,612","16,756","51,696","45,717","55,992","70,967","37,552","48,633","14,592","19,469","8,982","10,487","3,285","3,992",7.8,6.3,5.9,6.6,6.7,7.7,4.6,4.4,7.3,5.8,20.4,15.9,22.0,24.6,14.8,16.9,5.7,6.8,3.5,3.6,1.3,1.4,-1.4,0.8,1.0,-0.2,-1.5,-4.5,2.6,2.1,1.0,0.1,0.1
Islington,"12,289","11,211","9,583","9,973","10,953","11,777","8,965","8,815","20,453","18,476","54,611","56,063","45,933","46,411","25,302","33,540","9,885","11,827","6,020","6,148","2,131","2,346",6.0,5.2,4.6,4.6,5.3,5.4,4.3,4.1,9.9,8.5,26.5,25.9,22.3,21.4,12.3,15.5,4.8,5.5,2.9,2.8,1.0,1.1,-0.8,0.0,0.1,-0.3,-1.4,-0.6,-0.9,3.2,0.7,-0.1,0.0
Kensington and Chelsea,"9,189","6,171","7,614","6,364","7,579","7,751","5,338","5,440","11,322","12,202","34,947","25,142","38,208","30,356","25,337","29,351","10,928","11,324","5,720","6,815","2,467","2,460",5.8,4.3,4.8,4.4,4.8,5.4,3.4,3.8,7.1,8.5,22.0,17.5,24.1,21.2,16.0,20.5,6.9,7.9,3.6,4.8,1.6,1.7,-1.5,-0.4,0.6,0.4,1.4,-4.5,-2.9,4.5,1.0,1.1,0.2
Kingston upon Thames,"10,964","9,559","8,966","10,512","10,340","12,528","8,065","7,508","13,505","11,155","25,714","23,271","36,690","39,162","25,458","30,045","10,241","13,327","6,775","7,727","3,342","3,270",6.8,5.7,5.6,6.3,6.5,7.5,5.0,4.5,8.4,6.6,16.1,13.8,22.9,23.3,15.9,17.9,6.4,7.9,4.2,4.6,2.1,1.9,-1.2,0.7,1.0,-0.6,-1.8,-2.2,0.4,2.0,1.5,0.4,-0.1
