Area name,2011 One person household: Aged 65 years and over,2021 One person household: Aged 66 years and over,2011 One person household: Other,2021 One person household: Other,2011 Single family household: Couple family household: No children,2021 Single family household: Couple family household: No children,2011 Single family household: Couple family household: Dependent children,2021 Single family household: Couple family household: Dependent children,2011 Single family household: Couple family household: All children non-dependent,2021 Single family household: Couple family household: All children non-dependent,2011 Single family household: Lone parent household,2021 Single family household: Lone parent household,2011 Other household types,2021 Other household types,2011 Percentage: One person household: Aged 65 years and over,2021 Percentage: One person household: Aged 66 years and over,2011 Percentage: One person household: Other,2021 Percentage: One person household: Other,2011 Percentage: Single family household: Couple family household: No children,2021 Percentage: Single family household: Couple family household: No children,2011 Percentage: Single family household: Couple family household: Dependent children,2021 Percentage: Single family household: Couple family household: Dependent children,2011 Percentage: Single family household: Couple family household: All children non-dependent,2021 Percentage: Single family household: Couple family household: All children non-dependent,2011 Percentage: Single family household: Lone parent household,2021 Percentage: Single family household: Lone parent household,2011 Percentage: Other household types,2021 Percentage: Other household types,Percentage point change: One person household: Aged 66 years and over (65 years and over in 2011),Percentage point change: One person household: Other,Percentage point change: Single family household: Couple family household: No children,Percentage point change: Single family household: Couple family household: Dependent children,Percentage point change: Single family household: Couple family household: All children non-dependent,Percentage point change: Single family household: Lone parent household,Percentage point change: Other household types
Haringey,"7,974","8,958","24,550","23,335","13,748","14,712","16,510","17,669","3,931","4,834","15,342","15,855","19,900","19,729",7.8,8.5,24.1,22.2,13.5,14.0,16.2,16.8,3.9,4.6,15.0,15.1,19.5,18.8,0.7,-1.9,0.5,0.6,0.7,0.0,-0.7
Harrow,"8,985","9,050","10,023","10,802","10,341","9,905","19,269","20,606","7,678","9,032","9,294","9,738","18,678","20,509",10.7,10.1,11.9,12.1,12.3,11.0,22.9,23.0,9.1,10.1,11.0,10.9,22.2,22.9,-0.6,0.2,-1.2,0.1,1.0,-0.2,0.7
Havering,"13,499","12,838","14,716","13,291","14,560","13,384","19,474","21,628","8,531","9,197","11,441","13,138","14,978","17,801",13.9,12.7,15.1,13.1,15.0,13.2,20.0,21.4,8.8,9.1,11.8,13.0,15.4,17.6,-1.2,-2.0,-1.8,1.3,0.3,1.2,2.2
Hillingdon,"10,953","11,143","14,337","15,491","13,919","13,674","22,211","25,558","7,571","8,956","12,829","13,863","18,394","20,542",10.9,10.2,14.3,14.2,13.9,12.5,22.2,23.4,7.6,8.2,12.8,12.7,18.4,18.8,-0.7,-0.1,-1.4,1.2,0.6,-0.1,0.5
Hounslow,"8,651","9,176","17,334","17,033","12,664","12,529","19,277","22,754","6,157","7,313","11,888","13,347","18,931","20,809",9.1,8.9,18.3,16.5,13.3,12.2,20.3,22.1,6.5,7.1,12.5,13.0,19.9,20.2,-0.2,-1.7,-1.2,1.8,0.6,0.4,0.3
Islington,"7,597","7,636","28,643","27,159","14,930","17,396","9,778","11,328","2,489","2,940","12,421","13,071","17,698","16,967",8.1,7.9,30.6,28.1,16.0,18.0,10.5,11.7,2.7,3.0,13.3,13.5,18.9,17.6,-0.2,-2.5,2.1,1.3,0.4,0.3,-1.3
Kensington and Chelsea,"8,240","7,750","28,284","21,483","12,155","9,669","9,390","8,154","2,075","2,597","6,449","6,674","11,943","10,558",10.5,11.6,36.0,32.1,15.5,14.5,12.0,12.2,2.6,3.9,8.2,10.0,15.2,15.8,1.1,-3.9,-1.0,0.2,1.2,1.8,0.6
Kingston upon Thames,"6,762","6,894","11,436","10,822","10,758","10,369","14,210","15,787","3,813","4,448","5,599","6,336","11,061","10,970",10.6,10.5,18.0,16.5,16.9,15.8,22.3,24.1,6.0,6.8,8.8,9.7,17.4,16.7,-0.1,-1.5,-1.1,1.7,0.8,0.9,-0.7
Lambeth,"9,208","9,531","35,483","33,623","17,885","21,825","15,984","16,088","3,457","4,429","19,061","19,228","28,939","29,962",7.1,7.1,27.3,25.0,13.8,16.2,12.3,11.9,2.7,3.3,14.7,14.3,22.3,22.2,0.0,-2.3,2.4,-0.3,0.6,-0.4,0.0
Lewisham,"9,994","9,365","29,686","27,782","14,740","19,271","18,352","20,273","4,569","5,577","18,795","19,920","19,955","20,202",8.6,7.7,25.6,22.7,12.7,15.7,15.8,16.6,3.9,4.6,16.2,16.3,17.2,16.5,-1.0,-2.9,3.0,0.8,0.6,0.1,-0.7
